Standart Adı,Açıklama
ASTM B117 - Nötr Tuz Püskürtme Standardı,"Amaç ve Kullanım Alanı

ASTM B117, korozyon direnci değerlendirmesi için en yaygın kullanılan tuz püskürtme testlerinden biridir.
Kaplamalı ve kaplamasız malzemelerin performansını değerlendirmek için uygundur.
Malzeme ve kaplama kusurlarını (örneğin gözenekler veya çatlaklar) tespit etmek amacıyla kullanılır.

Test Prosedürü

Numunelerin Yerleştirilmesi:

Test edilecek numuneler, kapalı bir test kabinine yerleştirilir.

Püskürtme Çözeltisi:

Nötr Tuz Çözeltisi: Çözeltinin pH değeri 6.5 ile 7.2 arasında olmalıdır.
Çözeltinin numune yüzeyine düşme hızı 1.0 - 2.0 ml/80 cm²/saat olmalıdır.

Test Kabini Sıcaklığı:

Kabin sıcaklığı sabit olarak +35°C tutulur.

Sabit Ortam Koşulları:

Test sırasında kabin içindeki iklim, sürekli ve sabit bir durumda korunur.

Test Süresi:

Test süresi, belirli bir ürün veya ihtiyaca göre değişken olup, ürün standartlarına veya gereksinimlere göre ayarlanabilir."
ISO-9227 - Korozyon Test Standardı,"Amaç ve Kullanım

Bu testler, malzemelerin veya kaplamaların korozyon koşullarında nasıl performans göstereceğini değerlendirmek için yapılır. Özellikle, kaplama kusurlarını (örneğin gözenekler veya çatlaklar) tespit etmek ve korozyon korumasının etkinliğini kontrol etmek için uygundur.

Test Prosedürü

Numunelerin Yerleştirilmesi:

Test numuneleri kapalı bir test kabinine yerleştirilir.

Püskürtme Çözeltisi:

Nötr Tuz Çözeltisi: pH 6.5 ile 7.2 arasında.
Asitleştirilmiş Tuz Çözeltisi: pH 3.1 ile 3.3 arasında.
Çözeltinin, numunelerin yüzeyine 1.0 ila 2.0 ml/80 cm²/saat hızında sürekli ve dolaylı püskürtülmesi sağlanır.

Ortam Koşulları:

Test kabini sıcaklığı:

Nötr ve asetik asit tuz püskürtme testlerinde: +35°C
Bakır hızlandırıcılı asetik asit tuz püskürtme testinde: +50°C

Test Süresi:

Test süresi değişkendir, ihtiyaca göre ayarlanır.

Testlerin Türleri

NSS (Neutral Salt Spray): Nötr tuz püskürtme testi.
ASS (Acetic Acid Salt Spray): Asetik asit tuz püskürtme testi.
CASS (Copper-Accelerated Acetic Acid Salt Spray): Bakır hızlandırıcılı asetik asit tuz püskürtme testi."
ASTM-G85 Annex 1 - Asetik Asit Tuz Püskürtme Testi ,"Amacı ve Kapsamı

Asetik Asit Tuz Püskürtme (AASS) testi, özellikle çelik ve çinko esaslı döküm malzemeler üzerindeki krom kaplamaların korozyona karşı direncini değerlendirmek için kullanılır. Bu testte numuneler, sabit sıcaklıkta asetik asit içeren tuz püskürtme ortamına maruz bırakılır.

Test Prosedürü

Numunelerin Yerleştirilmesi:

Test edilecek numuneler kapalı bir test kabinine yerleştirilir.

Püskürtme Çözeltisi:

Çözeltinin pH değeri 3.1 ile 3.3 arasında olmalıdır.
Asidik tuz çözeltisinin numune yüzeyine düşme hızı, 1.0 - 2.0 ml/80 cm²/saat olarak ayarlanır.

Kabin Sıcaklığı:

Test kabini sıcaklığı sabit olarak +35°C tutulur.

Ortam Koşulları:

Test sırasında kabin içindeki ortam sürekli ve sabit koşullarda korunur.

Test Süresi:
Test süresi, ürünün gereksinimlerine veya spesifikasyonlarına göre değişkendir.

Kullanım Alanları

Çelik malzemeler üzerindeki krom kaplamaların dayanıklılık testi.
Çinko esaslı döküm malzemelerde kullanılan krom kaplamaların değerlendirilmesi.

Bu test, kaplama kusurlarını (örneğin gözenekler, ince kaplama bölgeleri veya çatlaklar) tespit etmek için kullanılır."
DIN-50021 - NSS - AASS - CASS Tuz Püskürtme Testi,"Amacı ve Kullanımı

Kalite Kontrol: Malzemelerin veya kaplamaların korozyon dayanımını değerlendirmek.
Kaplama Kusurları Tespiti: Gözenekler, çatlaklar veya kaplama süreksizliklerini belirlemek.
Standart Uyum: Ürünlerin belirli bir kaplama standardına uygun olup olmadığını kontrol etmek.

Test Türleri ve Kullanım Alanları

DIN 50021-NSS:

Nötr Tuz Püskürtme Testi, nötr bir tuz çözeltisinin (pH 6.5-7.2) kullanıldığı bir testtir.
Kaplamalı ve kaplamasız metalik malzemelerin genel korozyon direncini değerlendirmek için kullanılır.

DIN 50021-AASS:

Asetik Asit Tuz Püskürtme Testi, asitleştirilmiş bir tuz çözeltisinin (pH 3.1-3.3) kullanıldığı daha agresif bir testtir.
Krom kaplamaların ve alüminyum üzerindeki kaplamaların korozyon direncini test etmek için uygundur.

DIN 50021-CASS:

Bakır Hızlandırıcılı Asetik Asit Tuz Püskürtme Testi, asitleştirilmiş tuz çözeltisine bakır klorür eklenerek yapılan daha yoğun bir testtir.
Kaplamalar ve yüksek dayanıklılık gerektiren kaplamalar için kullanılır.

Test Koşulları

Tuz Çözeltisi:

Çözeltinin pH değeri, test türüne göre belirlenir.
NSS: pH 6.5 - 7.2
AASS ve CASS: pH 3.1 - 3.3

Sıcaklık:

NSS ve AASS: +35°C
CASS: +50°C

Çözelti Düşme Hızı:

Çözeltinin numune yüzeyine düşme hızı: 1.0 - 2.0 ml/80 cm²/saat"
MIL-STD 810 Askeri Tuz Test Standardı,"Amacı ve Kapsamı

Kaplamalı ve kaplamasız numunelerin, sabit sıcaklıkta tuz püskürtme ortamına maruz bırakıldığında korozyona karşı dirençlerini değerlendirmek için tasarlanmıştır. 

Test Prosedürü

Numunelerin Yerleştirilmesi:

Test numuneleri kapalı bir test kabinine yerleştirilir.

Püskürtme Çözeltisi:

Nötr Tuz Çözeltisi: pH 6.5 - 7.2 arasında olmalıdır.

Çözeltinin numune yüzeyine düşme hızı: 0.5 - 3.0 ml/80 cm²/saat.

Kabin Sıcaklığı:

Test sıcaklığı sabit olarak +35°C tutulur.

Test Koşulları:

Ortam genellikle sabit tutulur (sürekli püskürtme).
Alternatif olarak, test döngüler halinde uygulanabilir:
24 saat tuz püskürtme, ardından
24 saat ortamda hava ile kurutma.

Test Süresi:

Süre değişkendir ve gerekliliğe göre belirlenir.

Ön Koşullandırma:

Teste başlamadan önce numuneler en az 2 saat boyunca test sıcaklığında bekletilmelidir.

Kuruma Süreci:

Numuneler, 24 saat boyunca standart ortam sıcaklıklarında (%50’nin altında bağıl nemle) kurutulmalıdır."
MIL-STD 202 - Elektronik Bileşenler için Tuz Test Standardı,"Amacı ve Kapsamı

Kaplamalı ve kaplamasız elektronik ve elektrik bileşenlerinin, sabit sıcaklıkta nötr tuz püskürtme ortamına maruz bırakıldığında korozyon direncini değerlendirmek için uygulanır. 

Test Prosedürü

Numunelerin Yerleştirilmesi:

Test edilecek bileşenler, kapalı bir test kabinine yerleştirilir.

Püskürtme Çözeltisi:

Çözeltinin pH değeri 6.5 - 7.2 arasında tutulmalıdır.
Çözeltinin numune yüzeyine düşme hızı: 0.5 - 3.0 ml/80 cm²/saat.

Kabin Sıcaklığı:

Test kabini sıcaklığı sabit olarak +35°C tutulur.

Test Koşulları:

Tuz püskürtme sürekli olarak uygulanır.

Test Süresi:

Süre, ürün gereksinimlerine bağlı olarak değişkendir.

Kullanım Alanları

Elektronik Bileşenler:
Kart bağlantı elemanları, kontaklar, kaplamalı devre kartları gibi ürünlerin korozyona dayanıklılığını ölçmek için.

Elektriksel Parçalar:
Kaplama veya paslanmazlık gerektiren elektrik ekipmanlarının performans değerlendirmesi için."
IEC-60068-2-11 Koruyucu Kaplamalar için Tuz Testi,"Amacı ve Kapsamı

Koruyucu kaplamaların sabit sıcaklıkta tuz püskürtme ortamına maruz bırakıldığında korozyon direncini değerlendirmek amacıyla uygulanır. Özellikle kaplamaların sürekliliğini, dayanıklılığını ve kalite standardına uygunluğunu test etmek için kullanılır.

Test Prosedürü

Numunelerin Yerleştirilmesi:

Test edilecek numuneler, kapalı bir test kabinine düzgün şekilde yerleştirilir.

Püskürtme Çözeltisi:

Nötr Tuz Çözeltisi kullanılır: pH 6.5 - 7.2 arasında olmalıdır.
Çözeltinin yüzeye düşme hızı: 1.0 - 2.0 ml/80 cm²/saat olmalıdır.

Kabin Sıcaklığı:

Kabin sıcaklığı sabit olarak +35°C tutulur.

Ortam Koşulları:

Test sırasında ortam kararlı ve sürekli olmalıdır.

Test Süresi:

Süre değişkendir ve malzeme veya kaplama gerekliliklerine göre ayarlanır.

Kullanım Alanları

Koruyucu Kaplamalar:

Metal yüzeylerdeki kaplamaların korozyon dayanımını test etmek için uygundur.

Endüstriyel Uygulamalar:

Denizcilik, otomotiv, havacılık gibi korozyonun önemli olduğu sektörlerde kullanılan kaplamaların değerlendirilmesinde kullanılır."
GM-4465P General Motors Tuz Test Standardı,"Amacı ve Kapsamı

Kaplanmış numunelerin su buharı ve yüksek sıcaklık koşullarına maruz bırakılarak dayanıklılıklarının değerlendirilmesi için uygulanır. Test, ASTM B117 tuz püskürtme testine benzer bir düzenek kullanılarak gerçekleştirilir ve genellikle General Motors gibi otomotiv sektörüne yönelik standartlara uygun ürünlerin değerlendirilmesinde kullanılır.

Test Prosedürü

Test Kabini:

Numuneler, ASTM B117 standardındaki tuz püskürtme cihazı gerekliliklerini karşılayan bir kapalı test kabinine yerleştirilir.

Püskürtme Çözeltisi:

Su buharı, numune yüzeyine düşme oranı: 1.0 - 2.0 ml/80 cm²/saat.

Sıcaklık ve Nem Koşulları:

Kabin sıcaklığı: +38°C.
Nem oranı: %100 bağıl nem (RH).

Test Süresi:

Süre, test edilecek malzeme veya ürün gereksinimlerine bağlı olarak değişkendir.

Kullanım Alanları

Otomotiv Endüstrisi:

Araç bileşenlerinin, kaplamalarının ve koruyucu yüzeylerinin zorlu nem koşullarına dayanıklılığını test etmek için uygundur.

Kaplama Değerlendirmesi:

Kaplamalı yüzeylerde su buharına maruz kalma nedeniyle oluşabilecek hasarları (örneğin, kaplama kabarması, çatlama veya soyulma) belirlemek için kullanılır."
JIS-H-8501 Metod 1-2-3 Japon Tuz Test Standardı,"Amacı ve Kapsamı

Metalik malzemelerin korozyon direncini test etmek için kullanılan bir Japon Endüstriyel Standardı (JIS) olup, genellikle kaplamalar veya zorlu çevresel koşullara maruz kalan malzemeler üzerinde uygulanır. Özellikle nötr tuz püskürtme, asidik tuz püskürtme veya diğer çevresel faktörler gibi koşullar altında korozyon testi yapma yöntemlerini belirler.

Ana Test Yöntemleri:

Tuz Püskürtme Testi (Nötr Tuz Püskürtme - NSS):

Test numuneleri, nötr tuz çözeltisine sürekli olarak püskürtülerek, malzeme veya kaplamanın korozyona karşı dayanıklılığı değerlendirilir.

Asidik Tuz Püskürtme Testi (AASS):

Daha agresif bir tuz püskürtme testidir ve asidik tuz çözeltisi kullanılarak, daha korozif ortamlara maruz kalan kaplamaların dayanıklılığı test edilir.

Diğer Test Yöntemleri:

Hızlandırılmış hava koşullarına, çevresel maruziyete veya metalik malzemelerin ve kaplamaların korozyon testlerine dair diğer test yöntemlerini de içerir.

Test Parametreleri:

Test Süresi: Test süresi, test edilen ürünün veya malzemenin gereksinimlerine göre değişir.

Koşullar: Test numuneleri, kontrollü bir kabin içinde tuz buharı veya püskürtme çözeltisine maruz bırakılır. Bu süreçte sıcaklık, nem ve püskürtme oranı belirli test prosedürlerine göre sabit tutulur.

Testin Amacı:

Korozyon Direnci Değerlendirmesi: Malzemelerin, kaplamaların ve yüzey işlemlerinin, korozif çevrelerde ne kadar dayanıklı olduğunu belirlemek.

Kusurların Tespiti: Kaplamalarda, korozyona yol açabilecek pin delikleri, çatlaklar veya zayıf yapışma bölgeleri gibi kusurları tespit etmek.

Kullanım Alanları:

Malzemeler ve Kaplamalar: Otomotiv, havacılık ve inşaat gibi endüstrilerde kullanılan metalik malzemelerin, alaşımların, metal kaplamaların (örneğin, anodizasyon, galvanizleme) ve koruyucu kaplamaların korozyon direncini test etmek için kullanılır.

Önemli Noktalar:

Kalite Kontrolü: Ürünlerin zorlu çevre koşullarında güvenilirliğini ve uzun ömürlülüğünü sağlamak için kalite kontrol aracıdır.

Dayanıklılık Testi: Malzemelerin ve kaplamaların, uzun vadeli dış ortam koşullarında dayanıklılığını tahmin etmek amacıyla kullanılır."
D17-1058 Renault Test Standardı,"Amaç ve Kapsam

Kaplanmış metalik numunelerin, tuz püskürtme ortamına ve yüksek sıcaklık koşullarına maruz kaldığında korozyona karşı gösterdiği bağıl dirençlerini test etmek amacıyla kullanılır. Renault tarafından belirlenen bu standart, otomotiv endüstrisinde özellikle kaplamalı yüzeylerin korozyon dayanıklılığını değerlendirmek için uygundur.

Test Prosedürü:

Test Kabini:

Numuneler, kapalı bir test kabininde yerleştirilir.

Püskürtme Çözeltisi:

Numunelere sürekli olarak, nötr (pH 6.5 ile 7.2 arasında) tuzlu 
su çözeltisi püskürtülür.
Tuzlu su çözeltisinin püskürtme oranı: 1.0 ile 2.0 ml/80 cm²/saat arasında olmalıdır.

Sıcaklık Koşulları:

Test kabininde +35°C sıcaklık sağlanır ve bu ortam, sürekli ve sabit koşullar altında korunur.

Test Süresi:

Test süresi, belirli bir ürün veya malzeme gereksinimlerine bağlı olarak değişkendir. Ancak testin, belirtilen süre boyunca sabit koşullar altında yapılması önemlidir.

Kabin Hacmi:
Bu test standardına göre, 400 litreden daha küçük test kabinleri kullanılamaz.

Kullanım Alanları:

Otomotiv Endüstrisi: Özellikle otomotiv bileşenlerinde, kaplamaların dayanıklılığını test etmek amacıyla kullanılır.

Kaplama Testi: Kaplanmış metal yüzeylerin, tuzlu su ortamlarında korozyona karşı ne kadar dayanıklı olduğunu belirlemek için uygundur."
